Content,Date_Posted,Date_Replied,Date_of_Experience,Name,Ratings,Reply,Review,Title
"Stripe has decided to block pay out my regular customer money to my account. I provided them all required documents they asked for to unfreeze my account. Its been almost 50 days now and nothing has changed... I decided that if I cant pay out these money, because I will refund it back to my customer and we will use different payment method, but it is not possible from my account as well, even though I meet all requirements and there is enough money on my stripe account. Stripe see me as potential fraudulent threat, while I am operating in business for 30 years already and never scammed a signle person. Anyway, its fine, I can use other payments tools, but the problem is Customer Service. It is answering my emails with generic responses only, not relating to my problem at all. Of course, they make phone number unavailable for the customer - their intention is to make contact as hard as possible, just like cheap airlines. They have relatively low fee, so that is a plus, but if you have any issues with the platform, you are screwed basically. I am moving my business to other platforms, but I still have 4000 USD to send back to my customer, which I cant proceed with and I have to find a solution how to release money from Stripe account - one way or another. I want to snd money back to the customer and its not possible...",2024-04-19T11:30:00.000Z,2024-04-19T11:44:32.000Z,"April 19, 2024",Wojciech Zawistowski,Rated 1 out of 5 stars,"Hi Wojciech, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate [0] [1]. ",1,Horrible customer service - money frozen fro 50 days already
Stripe cancelled my payment and now after 18 days isn’t refund the money and support isn’t responding ,2024-04-19T09:00:31.000Z,2024-04-19T09:14:06.000Z,"April 04, 2024",Spiros Ladikos,Rated 1 out of 5 stars,"Hi Spiros, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. There are a number of reasons why a Stripe account may become unsupportable (e.g. closed account,not capable of receiving payments). For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate [0] [1] . ",1,Stripe cancelled my payment and now…
"I was using stripe from 2022. while this period of time they were fine with me but as soon as my business boosts and i am getting good sales they closed my account without any valid reason. i was unable to deliver products to many of my customers. there were money in my account which i refunded my customers and after closure of my i was unable to refund so i request my customers to open a dispute to get their money back for the orders they have not received yet. But for the products i have shipped there is still an amount which stripe has to pay me out. This money belongs to me. its been months i was trying to contact support but every timer they did not understand my situation and i received an automatic reply. there is still 800+ USD available in my account. and i want my money back, i don't want to work with stripe anymore. I request to the readers of this review please be careful if you are using stripe. ",2024-04-22T20:46:10.000Z,2024-04-19T06:04:38.000Z,"April 19, 2024",Chrome Heart Official,Rated 1 out of 5 stars,"Hi there, we understand this is far from ideal. Businesses that are deemed high-risk are unsupportable on the Stripe platform. Please email us at heretohelp@stripe.com with your account details, and we’ll take another look from our end, including your remaining funds.",1,"Be CAREFUL, if you are using stripe. its FRAUD"
"Charge Place Scotland are moving all payments from Swarco to Stripe. In moving over the Strip system is not user friendly, a card entry screen that can only be used on landscape mode, It took me a few minutes to try out options before I could enter details. Not a good start for what will prove to be a poor system.",2024-04-18T15:01:48.000Z,NA,"April 18, 2024",Ian Douglas,Rated 1 out of 5 stars,NA,22,Charge Place Scotland Move to Stripe
Very difficult to contact,2024-04-18T13:05:02.000Z,2024-04-18T13:38:15.000Z,"April 17, 2024",Tamara C,Rated 3 out of 5 stars,"Hi Tamara, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. This isn’t the support experience we want you to have. You can always reach out to us in just a few clicks on your Dashboard. Click on the “Help” button at the top right page of your Dashboard. Then choose “Share feedback”. Below the feedback textbox, there is a hyperlink for ""Stripe Support Or Contact Support"" that redirects you straight to the three contact support options of Stripe (chat, phone or email). We'll aim to call/chat you within 3 minutes of you sending that request: ",1,Very difficult to contact
i dont recommend using this company for starting. so basically i started a digital business with 3rd party service called sellpass.io. after i got some orders and payments from customers. they froze my stripe account with all the funds in it and they dont unfreeze it because it was too high risk???? like what. i send them proof of customers reviews and how they receive what they bought but they still dont unfreeze my account. im not recommending this company at any cost. Lost 122 euros from this company.,2024-04-18T13:04:25.000Z,2024-04-18T13:17:10.000Z,"April 17, 2024",plbm titas,Rated 1 out of 5 stars,"Hi there, thanks for reaching out and we're incredibly sorry the experience has been less than positive here. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or account with a high dispute rate [0] [1] . Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",3,i dont recommend using this company for…
"A month after our last review where was told on 14th March someone would get back to us, this review is left for the poor Customer Service Stripe offers, because guess what? No one got back to us. ",2024-04-18T12:37:01.000Z,2024-04-18T13:10:59.000Z,"April 18, 2024",Wayne Star Ation Figures,Rated 1 out of 5 stars,"Hi Wayne, thanks for reaching out and we're sorry to hear that you had to deal with a dispute—unfortunately, the card issuer has the final say about the dispute decision and Stripe is not involved in the outcome of the dispute. We provide tips and recommendations that can help prevent disputes and fraud https://stripe.com/docs/disputes/prevention and how to respond to them: https://stripe.com/docs/disputes/responding",10,A month after our last review where was…
I started selling on whatnot.  Unfortunately the only way to withdraw a balance is by having a stripe account.  Stripe intentionally makes it difficult to setup an account and they make it take forever.  There's so much they require just to get a penny through the account.  They are most definitely a scam.,2024-04-18T00:12:31.000Z,2024-04-18T00:47:56.000Z,"April 17, 2024",Daniel,Rated 1 out of 5 stars,"Hi Daniel, thanks for sharing your honest feedback and we’re very sorry to hear that you've had difficulties setting up your Stripe account. Furthermore, if you're still having issues setting up your account, you may email us at heretohelp@stripe.com with ‘Trustpilot’ in the subject line. We’ll be more than happy to look into this for you.",23,I started selling on whatnot
We have a UK registered company and we are providing web hosting services. They blocked our account without any reason and held our all funds which are around $3k. ,2024-04-17T20:52:04.000Z,2024-04-17T21:04:37.000Z,"April 17, 2024",Jean Francois,Rated 1 out of 5 stars,"Hi Jean, we’re very sorry to hear that. There are a number of reasons why a Stripe account may become unsupportable. For instance, we’re unable to support businesses that are deemed high-risk or accounts with a high dispute rate, and Stripe may put a hold of the funds if they are deemed high-risk to mitigate potential future disputes. Please email us at heretohelp@stripe.com, and we’ll be happy to take another look.",5,We have a UK registered company and we…
Terrible system. They have designed something based on their liking and then insist to explain to their customers that this is how things should work. Way to go!,2024-04-17T20:17:54.000Z,2024-04-17T20:24:29.000Z,"April 17, 2024",Kyriakos Zannikos,Rated 1 out of 5 stars,"Hey Kyriakos, we're sorry about your negative experience using our services. We'd like to help in any way we can—feel free to reach out to us directly at heretohelp@stripe.com, and we'll follow up to assist with any questions or concerns you may have.",1,Terrible system
